country,genre,topic,author,name,description,year
čeští,sci-fi,dospívání,Iva Procházková,Soví zpěv,"Brémy 2046. Déšť. Vytrvalý, intenzivní, bez konce. Přesto život plyne dál, podle obvyklých pravidel vyspělé civilizace, s jistotou technické dokonalosti. Přívaly kalných vod však protrhnou „absolutně bezpečnou“ Novou hráz... Sedmnáctiletý Armin, jeho devítiletá sestřička Géza a Rebeka, dívka plná otazníků, spolu prožívají tváří v tvář katastrofě vzrušující drama, při němž místo technických zázraků rozhodnou lidské city a činy.",2007
čeští,sci-fi,vesmír,Jaroslav Kalfař,Kosmonaut z Čech,"Jakub Procházka byl vyvolen jako muž, který bude tvořit jednočlennou posádku rakety vyslanou na nebezpečnou misi k Venuši. Osamělý v nesmírnosti kosmu pohlíží Jakub na řadu věcí jinak než dřív, až se v raketě jako jeho nepravděpodobný společník objeví (snad jen imaginární) mimozemský pavouk. Zatímco spolu vedou filosofické debaty o povaze lásky, života a smrti, ale také lahodné chuti špeku, vytvoří se mezi nimi silné emocionální pouto. Čtivý a napínavý příběh skýtá řadu překvapení a zvratů. A kdo se spolu s ním vydá na cestu do hlubin kosmonautovy duše, možná se ani nebude chtít vracet. ",2017
zahraniční,sci-fi,mimozemská civilizace,Marissa Meyer,Renegáti,"Renegáti jsou syndikát lidí s neobyčejnými schopnostmi. Vynořili se z trosek zničené společnosti a zavedli znovu řád tam, kde dosud vládl chaos. Jako obhájci práva a spravedlnosti jsou pro všechny symbolem odvahy a naděje. Výjimkou jsou zločinci, které kdysi svrhli. Nova má důvod Renegáty nenávidět a touží po pomstě. Jenže na cestě za svým cílem potká Adriana, který je Renegát. Dosáhne Nova nakonec své pomsty?",2018
zahraniční,sci-fi,mimozemská civilizace,Stephenie Meyer,Hostitel,"Melanie Stryder se odmítá vzdát. Náš svět napadl neviditelný nepřítel. Lidé se pro tyto mimozemšťany mění na pouhé hostitelské tělo; jejich mozek ovládne vetřelec, ale tělo zůstává netknuté a zdánlivě beze změny pokračuje v předchozím životě. Obětí mimozemšťanů se rychle stane drtivá většina lidstva. Když vetřelci dopadnou i Melanii, jednu z hrstky přežívajících „divokých“ lidí, dívka vůbec nepochybuje, že nastal její konec. „Poutnice“ – její vetřelecká „duše“ – která teď ovládla Melaniino tělo, dostala předem varování před problémy existence v člověku: změť pronikavých emocí, příliš mnoho smyslů, vypjatě živé vzpomínky. S jednou potíží však Poutnice nepočítá: předchozí obyvatelka těla se odmítá vzdát vlády nad svou myslí, i když tělo jí už nepatří. Poutnice bádá v Melaniiných myšlenkách a doufá, že objeví příčinu nezdolného lidského vzdoru. Místo toho Melanie naopak zaplní mysl Poutnice vzpomínkami a podobou milovaného muže – Jareda, který se dosud někde skrývá před vetřelci. A jelikož Poutnice se nemůže oddělit od Melaniiny tělesné touhy, sama začne prahnout po muži, jehož má odhalit. Když vnější okolnosti přinutí Poutnici a Melanii, aby uzavřely nedobrovolné spojenectví, vydají se spolu na nebezpečnou a nejistou pouť za mužem, kterého obě milují. Stephenie Meyerová patří k nejzajímavějším autorům současnosti. Ve svém Hostiteli nám předkládá strhující a nezapomenutelné dílo o vytrvalosti lásky a o samotné podstatě toho, co člověka dělá člověkem.",2009
zahraniční,sci-fi,vesmír,Douglas Adams,Stopařův průvodce Galaxií,"Příběh začíná zničením Země, která musí udělat místo nové galaktické dálnici. Hlavní hrdina příběhu, docela obyčejný pozemšťan jménem Arthur Dent, má to štěstí, že s pomocí svého přítele Forda Prefecta, údajně nezaměstnaného herce, z něhož se vyklube mimozemšťan, stopne kosmickou loď, a tak se mu podaří uniknout z místa katastrofy.
Toto je první díl sedmidílné série.",2011
zahraniční,sci-fi,vesmír,Ray Bradbury,Marťanská kronika,"Kniha zachycuje události dvou planet ovládaných lidským pokolením mezi lety 1999 až 2026 okem spisovatele z poloviny minulého století, děsivou vizi budoucnosti odrážející lidský duch v celé jeho kráse a zrůdnosti. Na Rudou planetu ze Země startují jedna raketa po druhé, expedice za expedicí, snažící se prozkoumat neznámá území nebeského tělesa. Každá ze skupinek se tu setkává různým způsobem s původním obyvatelstvem – marťany. Ti si vybudovali v průběhu věků vyspělou společnost plnou výstavních měst, hradů a zámků, umění a vědy, která stojí na základní vlastnosti celé populace – telepatii.",1991
zahraniční,sci-fi,krize civilizace,John Wyndham,Den trifidů,"Ten zážitek si málokdo na světě chtěl nechat ujít. Tajemné zelené záblesky, snad až odkudsi z hlubin vesmíru, šlehaly oblohou, celou noc trvala ta ohromující podívaná. Pro drtivou většinu lidstva to byla poslední věc, kterou viděla. Nadpozemský jev většinu zemské populace oslepil. Jedna katastrofa by však planetu nezdecimovala. Musela se k ní připojit druhá. Průmyslové rostliny, genetickou mutací proměněné v pohyblivá, jedovatě žahající monstra, využijí oslabení pána tvorstva a začnou jej systematicky vyhlazovat z povrchu zemského.
Nastal den trifidů. Bude zároveň posledním dnem člověka? Na to odpovídá klasická katastrofická sci-fi britského autora, nad jejíž četbou se nechce věřit, že vznikla před více než půl stoletím.",1993
zahraniční,sci-fi,krize civilizace,Suzanne Collins,Hunger games - série,"Knižní série s antiutopickými prvky. Skládá se z trilogie, která sleduje příběh Katniss Everdeenové. Odehrává se v dystopickém státě Panem, který se skládá z bohatého Kapitolu a 13 krajů. Každý rok jsou vylosovány dvě děti – chlapec a dívka – z 12 krajů, aby bojovaly na život a na smrt v aréně v televizní reality show Hunger Games, která může mít jen jednoho vítěze.",2010
zahraniční,sci-fi,krize civilizace,Veronica Roth,Divergence,"Hlavní hrdinka Beatrice žije v Chicagu budoucnosti, kde je společnost rozdělena do 5 frakcí a každá z nich se věnuje pěstování určité ctnosti – Odevzdanost, Neohroženost, Sečtělost, Mírumilovnost a Upřímnost. Každý rok ve stanovený den si musí všichni šestnáctiletí vybrat jednu z frakc í, do níž budou patřit po celý svůj život. Beatrice se rozhoduje mezi tím, jestli zůstane s rodinou, nebo bude sama sebou – obojí mít nemůže…",2012
zahraniční,sci-fi,krize civilizace,Veronica Roth,Rezistence,"Měl to být pro Tris šťastný a slavnostní den, ale všechno dopadlo úplně jinak. Po krvavé tragédii mezi frakcemi vzrůstají konflikty a nad společností se vznáší válka. Tris se musela rozhodnout už jednou – a teď ji čeká další volba. Dřívější rozhodnutí, obavy, zármutek i provinilos t, to vše ji teď dostihlo a Tris nezbývá než bez výhrad přijmout svou Divergentní identitu. Dokáže se ale vyrovnat se vším, co to znamená?",2012
zahraniční,sci-fi,krize civilizace,Veronica Roth,Aliance,"Na frakcích založená společnost, v níž Tris Priorová kdysi věřila, je v troskách – zničená násilím a mocenskými boji, zjizvená ztrátou a zradou. Když tedy dostane možnost prozkoumat venkovní svět, neváhá, je připravená. Třeba právě za plotem ona i Tobias naleznou společný lehčí ž ivot, svobodný od zbytečně komplikovaných lží, zamotaných vztahů a bolestných vzpomínek.\n\nAle Trisina nová realita je mnohem alarmující než ta, co nechala za sebou. Staré objevy jsou rychle zbaveny své důležitosti. Výbušné nové pravdy mění srdce těch, které miluje. A Tris tak znovu musí bojovat, aby dokázala pochopit složitost lidské povahy – i své vlastní – zatímco čelí rozhodování o odvaze, oddanosti, obětavosti a lásce.",2014
zahraniční,fantasy,dobrodružství,J. R. R. Tolkien,Hobit aneb Cesta tam a zase zpátky,"Toto je příběh o tom, kterak se Frodo Pytlík vydal za dobrodružstvím a shledal, že náhle dělá a říká naprosto neočekávané věci… Bilbo Pytlík je hobit, který se těší z pohodlnéh a skromného života a jen zřídkakdy putuje dále než do své spižírny ve Dně pytle. Jeho spokojené bytí je však narušeno, když se jednoho dne u jeho prahu objeví čaroděj Gandalf v doprovodu třinácti trpaslíků a vezmou ho s sebou na cestu ""tam a zase zpátky"". Mají v úmyslu uloupit poklad mocného Šmaka, velikého a velmi nebezpečného draka.",1937
zahraniční,fantasy,dobrodružství,J. R. R. Tolkien,Pán prstenů,"Strhující trilogie o hrdinné cestě malého hobita Froda Pytlíka za záchranu dávné Středozemě a jejích rozmanitých obyvatel před věčnou tmou a zlým čarodějem Sarumanem je příběh, kde hlavní roli hraje kouzelný prsten. Prsten, který je lépe nemít, a přitom po něm všichni touží.",1954
zahraniční,fantasy,dobrodružství,Terry Pratchett,Zeměplocha - série,"Série románů, povídek a dalších děl odehrávající se ve smyšleném světě Zeměplocha, jež je místo ležící na hřbetě želvy, která cestuje vesmírem. Terry Pratchett v těchto dílech často parodizuje známé fantasy příběhy, například díla J. R. R. Tolkiena. Kdo se chce zasmát a pobavit satiricky laděnou prózou, jsou pro něj příběhy Zeměplochy to pravé.
V sérii se objevuje několik postav, jež knihy propojují. Seznámit se tak můžete například s Mrakoplašem, Smrtěm, Městskou hlídkou, Toničkou Bolavou nebo čarodějkami. ",od 1983
zahraniční,fantasy,dobrodružství,John Flanagan,Hraničářův učeň - série,"Série příběhů o hraničáři Willovi a jeho přátelích. Will vyrůstá v opatrovně pro nalezence na hradě Redmontu. Sní o tom, že se jednou stane rytířem, ale kvůli své drobné postavě se musí tohoto snu vzdát. Zklamaného Willa vezme do učení hraničář Halt, uznávaný dokonce i ostřílenými rytíři. A hraničářské řemeslo se nakonec Willovi zalíbí tak, že by ho neměnil za nic na světě. ",od 2004
zahraniční,fantasy,dobrodružství,John Flanagan,Bratrstvo - série,"Děj série Bratrstvo je zasazen do Skandie, drsné země námořníků a bojovníků. Hlavní hrdinou série je šestnáctiletý Hal Mikkelson a jeho přátelé Volavky, Stig, Ingvar, Lydia, Stefan, Jesper, Ulf, Wulf, Thorn a Edvin, kteří se stali bratrstvem spíše náhodou, ale nejednou čtenáře překvapí, že družstvo, které se zdá na první pohled slabé a zranitelné, dokáže nevídané věci a umí se semknout a být věrné své věci a hlavně svému národu. Všechny knihy popisují život ve Skandii a dobrodružství mladých Skandijců, kteří se v některých z dílů dostanou daleko za břehy Skandie a zvládnou i to, co by nemuseli zvládnout jejich starší krajané.",od 2011
zahraniční,fantasy,magie,J. K. Rowling,Harry Potter - série,"Řada fantasy románů britské spisovatelky J. K. Rowlingové. Romány zachycují dobrodružství mladého kouzelníka, Harryho Pottera, a jeho přátel, Ronalda Weasleyho a Hermiony Grangerové, kteří všichni studují na Škole čar a kouzel v Bradavicích. Hlavním tématem příběhu je Harryho souboj s černokněžníkem Tomem Rojvolem Raddlem, známým spíše jako Lord Voldemort, jehož cílem je dosažení vlastní nesmrtelnosti, dobytí kouzelnického světa, podmanění nekouzelníků (mudlů) a zničení všech, kdo mu stojí v cestě, zejména pak samotného Harryho Pottera.",od 1998
zahraniční,fantasy,magie,Ransom Riggs,Sirotčinec slečny Peregrinové,"Tajemný ostrov. Opuštěný sirotčinec. Zvláštní sbírka velice podivných fotografií. To vše čeká na odhalení v knize Sirotčinec slečny Peregrinové pro podivné děti, nezapomenutelném románu, kde děj a děsivé fotografie přináší jedinečný čtenářský zážitek. Náš příběh začíná strašnou rodinnou tragédií, která přivede šestnáctiletého Jacoba k cestě na vzdálený ostrov u břehů Walesu, kde objevuje rozpadající se trosky sirotčince slečny Peregrinové pro podivné děti. Když Jacob bloumá jeho opuštěnými ložnicemi a chodbami, ukazuje se postupně, že děti slečny Peregrinové byly víc než podivné. Byly možná nebezpečné. Možná byly na opuštěném ostrově drženy v jakési karanténě z velmi dobrých důvodů. A nějak – i když to zní jako něco nemožného – jsou možná stále naživu.",2012
zahraniční,fantasy,říše fantazie,Lewis Carroll,Alenka v říši divů,"Alenka se pustí do pronásledování bílého králíka, který kolem ní proběhl. Spadne do králičí nory, která se ukáže být branou do podivného světa, ve kterém jsou přírodní zákony vystřídány neomezenou fantazií, překrásně zobrazenou nádhernými ilustracemi, které vykreslují veškeré kouzlo tohoto zázračného světa.",1865
zahraniční,fantasy,dobrodružství,Christopher Paolini,Eragon,"První díl trilogie Odkaz Dračích jezdců je příběh chudého farmářského chlapce, který najde v Dračích horách modrý kámen, z něhož se vyklube dračí mládě – Safira. Spolu se vydají na nebezpečnou cestu královstvím ovládaným králem, jehož zlo nezná mezí. Dokáže Eragon naplnit své předurčení a převzít břímě le gendárních Dračích jezdců? Osud království možná leží v jeho rukou.",2004
zahraniční,fantasy,dobrodružství,Clive Staples Lewis,Letopisy Narnie,"Sedmidílný cyklus fantasy knih pro děti, které napsal britský autor. Pojednávají o dobrodružství několika dětí, které se dostávají do fantastické země Narnie. Žijí zde mluvící zvířata, existuje magie (která však má jiný význam než v klasickém pojetí – není autonomní silou, ale Stvořitelem daný řád, podle něhož funguje Narnijský svět) a dobro se musí postavit zlu, v čemž děti sehrají klíčovou úlohu. Knihy jsou alegorií základních konceptů křesťanství.",od 1950
zahraniční,fantasy,cestování časem,Marianne Curley,Strážci času - série,"Trilogie Strážci času vypráví o skupině lidí chránících historii. Žádný z nich neví o svých spolubojovnících, jednotliví členové znají pouze Tribunál a možná jednoho či dva další druhy. Identita strážců je přísně tajná, takže se může snadno stát, že dva takoví jedinci žijí vedle sebe, aniž by o sobě věděli.",od 2006
čeští,pohádky,životní moudrost,Jan Werich,Fimfárum,"Vydání půvabných pohádek plných humoru, jazykového vtipu i poučení. Jejich autor si v nich vzal na mušku některé lidské vlastnosti a zlořády. Knížka okouzluje krásou češtiny, hravostí a moudrostí vypravěče a potěší děti i dospělé. Mnohé z Werichových pohádek se dočkaly i filmové či televizní podoby (Tři veteráni, Lakomá Barka nebo Královna Koloběžka První).",1992
čeští,pohádky,dobrodružství,Markéta Pilátová,Víla Vivivíla,"Máte rádi pohádky? Punkové pohádky? Jestli nevíte, co to je, vydejte se v noci se zvědavou vílou Vivivílou, která trochu moc vyplazovala jazyk, vždycky měla svou hlavu a klidně nosila nevílácké kalhoty, z bažin do Břevnova.
",2009
čeští,pohádky,životní moudrost,Karel Čapek,Devatero pohádek,"Kniha Karla Čapka Devatero pohádek a ještě jedna od Josefa Čapka jako přívažek je soubor pohádek. S milým, vstřícným humorem autor pomocí pohádkových příběhů objasňuje spoustu jevů běžného života a popisuje, co se děje ve chvílích a na místech, kam málokdy je člověk puštěn. Vysvětlí nám spoustu faktů z psí a kočičí říše nebo z profese pošťácké, loupežnické či vodnické.",1932
čeští,pohádky,zvířata,Karel Čapek,Dášeňka čili život štěněte,"Jedna z nejoblíbenějších českých dětských knížek. Karel Čapek si pořídil do domu na Vinohradech nejprve airdala, pak drsnosrstého teriéra Iris, mámu Dášeňky. Tahle krásná knížka kromě Života štěněte obsahuje i kapitoly Jak se fotografuje štěně a Pohádky pro Dášeňku, O psích zvyc ích nebo třeba O lidech. Půvabné vyprávění i obrázky budou provázet vaše děti po celý život.",1933
čeští,pohádky,dobrodružství,Pavel Šrut,Lichožrouti,"Je to nejobratnější lupič všech dob a dosud nikdy nebyl dopaden. Možná i vám se včera nebo právě v této chvíli ztratila ponožka. Kdo za to může? Lichožrout! Záhadný tvor, který žere ponožky a z párů dělá licháče.\nDo jejich tajemného světa pronikla autorská a ilustrátorská dvojice Pavel Šrut – Galina Miklínová a vynořila se s napínavým a vtipným příběhem jedné lichožroutí rodinky, starého mládence pana Vavřince a malého nešiky lichožrouta Hihlíka.",2008
zahraniční,pohádky,životní moudrost,Antoin de Saint-Exupéry,Malý princ,"To důležité vidíme srdcem! S Malým princem se v africké poušti setkává opuštěný letec, autor této moderní pohádky. Zatímco se pokouší opravit havarovaný stroj, povídají si o všeličem. O tajemství podivuhodné pouti Malého prince, o dobru a zlu, o přátelství a kráse, o pravém štěstí, o odpovědnosti za ty, které máme rádi. A vůbec nezáleží na tom, odkud pocházíme: Malý princ pocházel z tak malinké planetky, že si to možná ani neumíme představit. Ale věděl, že je třeba chránit květinu, kterou vypěstoval, a že mu to přineslo radost.",1943
čeští,faktografická literatura,historie,Kateřina Tučková; Renáta Fučíková; Lenka Křížová,Hrdinky: Příběhy významných českých žen,"Medailonky významných českých žen z různých oborů lidské činnosti nás seznamují s jejich životním příběhem a zároveň i přibližují dobu, ve které žily. Byly odvážné. Mnohdy předběhly dobu. Šly si za svým a někdy za odvahu zaplatily cenu nejvyšší. Ale svým příběhem inspirovaly tisíce a miliony dalších žen, které dnes díky nim mohou žít svobodně a podle svých představ. Strhující vyprávění o šedesáti výjimečných a leckdy zapomenutých hrdinkách z české kotliny od těch nejdávnějších dob až po současnost doprovází originální portréty od studentů, textové medailony Kateřiny Tučkové a historické vstupy Renáty Fučíkové, které ukazují, jak se žilo ženám v různých obdobích dějin.",2020
čeští,faktografická literatura,historie,Renáta Fučíková,Tomáš Garrigue Masaryk,"Je to vůbec první kniha, která osobu T. G. Masaryka zpřístupní dětem a mládeži. Text knihy, který si psala sama ilustrátorka a byl odborně redigován, je živě propojen s ilustracemi, které mají blízko ke klasické ilustraci i ke komiksu. Rozevřená kniha svou pestrostí připomene dobové noviny. T. G. Masaryk a vznik Československa poprvé také pro děti.",2006
čeští,faktografická literatura,historie,Renáta Fučíková,Jan Amos Komenský,"Přední česká ilustrátorka tu jedinečným způsobem představuje nelehkou životní pouť T. G. Masaryka a spolu s ním důležité období české historie. Citlivě ztvárňuje také příběh rodiny žijící ve stínu mimořádného otce, příběh vnímavé a obětavé manželky a matky Charlotty.V. neposlední řadě též příběh národa této země, který po staletích dosáhl samostatnosti a vyrovnal se nejvyspělejším národům světa.",2008
čeští,faktografická literatura,historie,Alena Ježková; Renáta Fučíková,Karel IV.,"Doba panování Karla IV. je právem považovaná za zlatý věk českých dějin. Jaký ale doopravdy byl český král a římský císař, co všechno vykonal? Odpověď vám dá kniha plná ilustrací stejně delikátních, jaké známe z iluminovaných rukopisů vrcholného středověku. Dozvíte se, že Karel IV. byl nejen stavitelem mostů, hradů a měst. Velkou část svého života prožil na cestách mezi významnými městy tehdejší Evropy, jako byla Paříž, Milano, Benátky, Avignon, Řím, Florencie, Cáchy, Norimberk. Byl diplomatem a urovnával spory mezi panovníky, ale zároveň byl i válečníkem. Pro české země získal nová území.
Velký odkaz zanechal Karel IV. v oblasti vědění, literatury a zákona. Sepsal legendy o životě nejstarších Přemyslovců, podílel se na vzniku kronik, sestavil nový zákoník, uprostřed Evropy založil univerzitu. Pečoval o rozvoj obchodu, umění a řemesel.",2016
čeští,faktografická literatura,historie,Milada Motlová,Praha známá i neznámá,"Praha známá i neznámá je knížka o pozoruhodných památkách, místech i událostech krásného města s tisíciletou pamětí. Vede čtenáře po stopách historie Pražského hradu, Hradčan a Malé Strany přes Vltavu s jejími ostrovy a mosty na Staré a Židovské Město, Novým Městem na Vyšehrad i k místům za hradbami: Kapitoly o významných památkách jsou zpestřeny známými i méně známými historkami a pověstmi, doplňují je zajímavosti o životě ve staré Praze, přehledy historických dat, patronů pražských kostelů, církevních řádů, panovníků a vysvětlivky. Je určena všem, kteří chtějí Prahu nejen vidět, ale také se o ní něco dozvědět.",2004
